Event Date,Administrator,Program,Start Time,End Time,Event Duration,Zone/Network,Event/Test,Event Type
8/15/2012,Con Edison,Smart AC,17:00,22:00,5:00,All,Event,
9/16/2012,Con Edison,DLRP,10:48,19:00,8:12,Brighton Beach,Event,
9/16/2012,Con Edison,DLRP,10:48,19:00,8:12,Flatbush,Event,
5/24/2013,Con Edison,DLC,9:25,16:00,6:35,Roosevelt,Event,
5/24/2013,Con Edison,DLRP,9:25,16:00,6:35,Roosevelt,Event,
6/25/2013,Con Edison,DLC,19:00,0:00,5:00,Flatbush,Event,
6/25/2013,Con Edison,CSRP-Day,14:00,15:00,1:00,All,Test,
6/25/2013,Con Edison,CSRP-Night,19:00,20:00,1:00,All,Test,
6/25/2013,Con Edison,DLRP,19:00,0:00,5:00,Flatbush,Event,
6/26/2013,Con Edison,DLRP,12:00,13:00,1:00,All,Test,
7/6/2013,Con Edison,DLRP,7:00,12:00,5:00,Fox Hills,Event,
7/9/2013,Con Edison,Smart AC,18:00,19:00,1:00,All,Test,
7/15/2013,Con Edison,DLC,12:00,17:00,5:00,All,Event,
7/15/2013,Con Edison,DLC,17:00,22:00,5:00,All,Event,
7/15/2013,Con Edison,DLC,17:00,22:00,5:00,Fox Hills,Event,
7/15/2013,Con Edison,DLC,18:00,23:00,5:00,Fresh Kills,Event,
7/15/2013,Con Edison,CSRP-Day,12:00,17:00,5:00,All,Event,
7/15/2013,Con Edison,CSRP-Night,17:00,22:00,5:00,All,Event,
7/15/2013,Con Edison,Modlet,12:00,17:00,5:00,All,Event,
7/15/2013,Con Edison,DLRP,17:00,22:00,5:00,Fox Hills,Event,
7/15/2013,Con Edison,DLRP,18:00,23:00,5:00,Fresh Kills,Event,
7/15/2013,NYISO,SCR,13:00,18:00,5:00,Zones H I J,Event,
7/15/2013,NYISO,EDRP,13:00,18:00,5:00,Zones H I J,Event,
7/16/2013,Con Edison,DLC,12:00,17:00,5:00,All,Event,
7/16/2013,Con Edison,DLC,17:00,22:00,5:00,All,Event,
7/16/2013,Con Edison,CSRP-Day,12:00,17:00,5:00,All,Event,
7/16/2013,Con Edison,CSRP-Night,17:00,22:00,5:00,All,Event,
7/16/2013,Con Edison,Smart AC,17:00,22:00,5:00,All,Event,
7/16/2013,NYISO,SCR,13:00,18:00,5:00,Zones H I J,Event,
7/16/2013,NYISO,EDRP,13:00,18:00,5:00,Zones H I J,Event,
7/17/2013,Con Edison,DLC,12:00,17:00,5:00,All,Event,
7/17/2013,Con Edison,DLC,17:00,22:00,5:00,All,Event,
7/17/2013,Con Edison,CSRP-Day,12:00,17:00,5:00,All,Event,
7/17/2013,Con Edison,CSRP-Night,17:00,22:00,5:00,All,Event,
7/17/2013,Con Edison,Smart AC,17:00,22:00,5:00,All,Event,
7/17/2013,NYISO,SCR,13:00,18:00,5:00,Zones H I J,Event,
7/17/2013,NYISO,EDRP,13:00,18:00,5:00,Zones H I J,Event,
7/18/2013,Con Edison,DLC,12:00,17:00,5:00,Zone J,Event,
7/18/2013,Con Edison,DLC,17:00,22:00,5:00,Zone J,Event,
7/18/2013,Con Edison,DLC,17:00,0:00,7:00,Fresh Kills,Event,
7/18/2013,Con Edison,CSRP-Day,12:00,17:00,5:00,Zone J,Event,
7/18/2013,Con Edison,CSRP-Night,17:00,22:00,5:00,Zone J,Event,
7/18/2013,Con Edison,Modlet,17:00,22:00,5:00,Zone J,Event,
7/18/2013,NYISO,SCR,12:00,18:00,6:00,Zones H I J,Event,
7/18/2013,NYISO,EDRP,12:00,18:00,6:00,Zones H I J,Event,
